j2p_over_j1,sector_index,n,m,source_qa,source_qb,sector_dimension,sector_energy_total,delta_energy_to_gs
0.75,0,0,0,0,0,225592,-10.498938216961122,0.0022166629535895765
0.75,1,1,5,0,1,225264,-10.418796701282098,0.08235817863261374
0.75,2,2,4,0,2,225570,-10.501154879914711,0.0
0.75,3,3,3,0,3,225280,-10.446798092558504,0.05435678735620719
0.75,4,4,2,0,4,225570,-10.5011548799146,1.1191048088221578e-13
0.75,5,5,1,0,5,225264,-10.418796701282762,0.08235817863194939
0.75,6,3,0,1,0,225280,-10.446798092558884,0.05435678735582705
0.75,7,4,5,1,1,225264,-10.41879670128305,0.08235817863166162
0.75,8,5,4,1,2,225264,-10.418796701281794,0.0823581786329175
0.75,9,0,3,1,3,225280,-10.446798092558232,0.054356787356478975
0.75,10,1,2,1,4,225264,-10.418796701283354,0.08235817863135786
0.75,11,2,1,1,5,225264,-10.418796701282131,0.08235817863257999
0.76,0,0,0,0,0,225592,-10.513811404891573,0.0
0.76,1,1,5,0,1,225264,-10.435496780265268,0.07831462462630512
0.76,2,2,4,0,2,225570,-10.5128906796225,0.0009207252690739409
0.76,3,3,3,0,3,225280,-10.460622263212892,0.05318914167868094
0.76,4,4,2,0,4,225570,-10.512890679622329,0.0009207252692444712
0.76,5,5,1,0,5,225264,-10.435496780263266,0.07831462462830707
0.76,6,3,0,1,0,225280,-10.460622263213352,0.053189141678220864
0.76,7,4,5,1,1,225264,-10.435496780263385,0.07831462462818806
0.76,8,5,4,1,2,225264,-10.435496780264248,0.07831462462732475
0.76,9,0,3,1,3,225280,-10.460622263213036,0.053189141678537055
0.76,10,1,2,1,4,225264,-10.43549678026491,0.07831462462666394
0.76,11,2,1,1,5,225264,-10.435496780263565,0.07831462462800864
0.77,0,0,0,0,0,225592,-10.531030076245782,0.0
0.77,1,1,5,0,1,225264,-10.45318016378957,0.07784991245621242
0.77,2,2,4,0,2,225570,-10.525423139777597,0.005606936468184998
0.77,3,3,3,0,3,225280,-10.475355612445817,0.055674463799965324
0.77,4,4,2,0,4,225570,-10.5254231397779,0.005606936467883017
0.77,5,5,1,0,5,225264,-10.453180163789467,0.07784991245631545
0.77,6,3,0,1,0,225280,-10.47535561244624,0.05567446379954255
0.77,7,4,5,1,1,225264,-10.453180163788891,0.07784991245689099
0.77,8,5,4,1,2,225264,-10.453180163785847,0.07784991245993567
0.77,9,0,3,1,3,225280,-10.47535561244578,0.05567446380000263
0.77,10,1,2,1,4,225264,-10.453180163783987,0.07784991246179551
0.77,11,2,1,1,5,225264,-10.453180163788433,0.07784991245734929
0.78,0,0,0,0,0,225592,-10.557231129118456,0.0
0.78,1,1,5,0,1,225264,-10.471825234037448,0.08540589508100815
0.78,2,2,4,0,2,225570,-10.538752044798331,0.01847908432012524
0.78,3,3,3,0,3,225280,-10.49103211749194,0.06619901162651587
0.78,4,4,2,0,4,225570,-10.5387520447987,0.018479084319755756
0.78,5,5,1,0,5,225264,-10.471825234035734,0.08540589508272234
0.78,6,3,0,1,0,225280,-10.491032117492187,0.06619901162626896
0.78,7,4,5,1,1,225264,-10.471825234037405,0.08540589508105079
0.78,8,5,4,1,2,225264,-10.471825234035876,0.08540589508258023
0.78,9,0,3,1,3,225280,-10.491032117492198,0.0661990116262583
0.78,10,1,2,1,4,225264,-10.471825234034696,0.08540589508375973
0.78,11,2,1,1,5,225264,-10.471825234035897,0.08540589508255891
0.79,0,0,0,0,0,225592,-10.583841559426657,0.0
0.79,1,1,5,0,1,225264,-10.491410608602106,0.09243095082455177
0.79,2,2,4,0,2,225570,-10.552876453278955,0.030965106147702315
0.79,3,3,3,0,3,225280,-10.507725467353998,0.07611609207265957
0.79,4,4,2,0,4,225570,-10.552876453278492,0.030965106148165944
0.79,5,5,1,0,5,225264,-10.491410608603141,0.09243095082351616
0.79,6,3,0,1,0,225280,-10.507725467354318,0.07611609207233982
0.79,7,4,5,1,1,225264,-10.491410608601756,0.09243095082490171
0.79,8,5,4,1,2,225264,-10.491410608602369,0.09243095082428887
0.79,9,0,3,1,3,225280,-10.507725467353787,0.07611609207287096
0.79,10,1,2,1,4,225264,-10.491410608601464,0.09243095082519304
0.79,11,2,1,1,5,225264,-10.491410608601832,0.09243095082482533
0.8,0,0,0,0,0,225592,-10.610857800875234,0.0
0.8,1,1,5,0,1,225264,-10.51191549746691,0.09894230340832344
0.8,2,2,4,0,2,225570,-10.567794697362064,0.043063103513169665
0.8,3,3,3,0,3,225280,-10.52560978667281,0.08524801420242412
0.8,4,4,2,0,4,225570,-10.567794697362356,0.04306310351287834
0.8,5,5,1,0,5,225264,-10.511915497467394,0.09894230340784027
0.8,6,3,0,1,0,225280,-10.525609786672627,0.08524801420260708
0.8,7,4,5,1,1,225264,-10.511915497466703,0.09894230340853127
0.8,8,5,4,1,2,225264,-10.511915497466521,0.09894230340871246
0.8,9,0,3,1,3,225280,-10.52560978667302,0.0852480142022145
0.8,10,1,2,1,4,225264,-10.511915497465862,0.09894230340937149
0.8,11,2,1,1,5,225264,-10.511915497466767,0.09894230340846732
0.9,0,0,0,0,0,225592,-10.902543250083305,0.0
0.9,1,1,5,0,1,225264,-10.764436721027643,0.138106529055662
0.9,2,2,4,0,2,225570,-10.778967213072272,0.12357603701103237
0.9,3,3,3,0,3,225280,-10.797820582652458,0.10472266743084724
0.9,4,4,2,0,4,225570,-10.778967213071827,0.12357603701147823
0.9,5,5,1,0,5,225264,-10.764436721027161,0.1381065290561434
0.9,6,3,0,1,0,225280,-10.797820582652053,0.10472266743125225
0.9,7,4,5,1,1,225264,-10.764436721027446,0.13810652905585918
0.9,8,5,4,1,2,225264,-10.764436721027456,0.13810652905584853
0.9,9,0,3,1,3,225280,-10.797820582651775,0.10472266743152936
0.9,10,1,2,1,4,225264,-10.76443672102739,0.13810652905591425
